id,first_name,second_name,element_type,now_cost,minutes,total_points
1,David,Raya Martín,1,60,1530,75
2,Kepa,Arrizabalaga Revuelta,1,41,0,0
3,Karl,Hein,1,40,0,0
4,Tommy,Setford,1,39,0,0
5,Gabriel,dos Santos Magalhães,2,62,990,81
6,William,Saliba,2,59,994,49
7,Riccardo,Calafiori,2,57,1256,77
8,Jurriën,Timber,2,65,1377,86
9,Jakub,Kiwior,2,54,0,0
10,Myles,Lewis-Skelly,2,51,195,9
11,Benjamin,White,2,52,280,22
13,Brayden,Clarke,2,38,0,0
14,Maldini,Kacurri,2,39,0,0
15,Josh,Nichols,2,38,0,0
16,Bukayo,Saka,3,103,1148,78
17,Martin,Ødegaard,3,78,534,23
18,Noni,Madueke,3,68,420,16
19,Gabriel,Martinelli Silva,3,68,400,22
20,Leandro,Trossard,3,69,871,62
21,Declan,Rice,3,72,1425,97
22,Mikel,Merino Zazón,3,59,759,53
23,Fábio,Ferreira Vieira,3,54,0,0
24,Christian,Nørgaard,3,52,14,2
25,Ethan,Nwaneri,3,51,165,8
26,Martín,Zubimendi Ibáñez,3,52,1410,59
28,Ismeal,Kabia,3,45,0,0
29,Albert,Sambi Lokonga,3,45,0,0
30,Kai,Havertz,4,73,30,1
31,Gabriel,Fernando de Jesus,4,64,34,2
266,Eberechi,Eze,3,76,991,66
662,Cristhian,Mosquera,2,54,429,17
666,Viktor,Gyökeres,4,88,1015,46
700,Max,Dowman,3,43,27,5
711,Andre,Harriman-Annous,3,45,0,0
725,Piero,Hincapié,2,55,563,30
759,Marli,Salmon,2,40,0,0
32,Emiliano,Martínez Romero,1,50,1170,57
33,Marco,Bizot,1,42,360,9
34,Joe,Gauci,1,40,0,0
35,Filip,Marschall,1,40,0,0
36,Matty,Cash,2,49,1502,75
37,Lucas,Digne,2,45,1002,53
38,Ezri,Konsa Ngoyo,2,44,1415,49
39,Ian,Maatsen,2,42,521,13
40,Tyrone,Mings,2,43,497,24
41,Pau,Torres,2,43,952,39
42,Andrés,García,2,39,0,0
43,Álex,Moreno Lopera,2,40,0,0
44,Lamare,Bogarde,2,40,320,20
45,Lino,da Cruz Sousa,2,39,0,0
46,Yasin,Özcan,2,40,0,0
47,Morgan,Rogers,3,73,1516,91
48,Youri,Tielemans,3,59,781,28
49,Leon,Bailey,3,55,0,0
50,Emiliano,Buendía Stati,3,53,561,50
51,Samuel,Iling-Junior,3,55,0,0
53,Donyell,Malen,3,51,529,48
54,John,McGinn,3,54,1317,50
55,Ross,Barkley,3,48,114,15
56,Enzo,Barrenechea,3,50,0,0
57,Lewis,Dobbin,3,50,0,0
58,Boubacar,Kamara,3,49,1157,53
59,Amadou,Onana,3,48,810,44
60,Ben,Broggio,3,45,0,0
61,Leander,Dendoncker,3,45,0,0
62,Jamaldeen,Jimoh-Aloba,3,45,0,0
63,Kadan,Young,3,43,0,0
64,Ollie,Watkins,4,85,1267,55
65,Zépiqueno,Redmond,4,45,0,0
389,Harvey,Elliott,3,52,97,4
456,Jadon,Sancho,3,58,126,7
677,Evann,Guessand,3,62,511,23
688,James,Wright,1,39,0,0
701,Triston,Rowe,2,40,0,0
702,Bradley,Burrowes,3,44,16,1
703,Sam,Proctor,1,39,0,0
710,Travis,Patterson,2,39,0,0
719,Victor,Lindelöf,2,45,205,10
754,George,Hemmings,3,45,0,0
757,Ronnie,Hollingshead,1,40,0,0
768,Leon,Routh,2,40,0,0
183,Max,Weiß,1,43,0,0
184,Etienne,Green,1,40,0,0
185,Václav,Hladký,1,39,0,0
186,Connor,Roberts,2,44,0,0
187,Kyle,Walker,2,44,1426,36
188,Hannes,Delcroix,2,38,0,0
189,Owen,Dodgson,2,40,0,0
190,Hjalmar,Ekdal,2,39,893,30
191,Maxime,Estève,2,39,1432,42
192,Quilindschy,Hartman,2,40,1337,46
193,Bashir,Humphreys,2,39,2,0
194,Jordan,Beyer,2,39,0,0
195,Lucas,Pires Silva,2,38,141,0
196,Shurandy,Sambo,2,40,0,0
197,Oliver,Sonne,2,38,128,11
198,Axel,Tuanzebe,2,39,706,18
199,Joe,Worrall,2,38,154,7
200,Jaidon,Anthony,3,52,1122,60
201,Manuel,Benson Hedilazio,3,54,0,0
202,Jacob,Bruun Larsen,3,53,711,26
203,Enock,Agyei,3,47,0,0
204,Darko,Churlinov,3,49,0,0
205,Josh,Cullen,3,50,1461,69
206,Marcus,Edwards,3,47,96,10
207,Hannibal,Mejbri,3,48,395,22
208,Luca,Koleosho,3,50,0,0
209,Josh,Laurent,3,48,693,21
210,Loum,Tchaouna,3,49,653,29
211,Aaron,Ramsey,3,44,0,0
212,Oluwaseun,Adewumi,3,45,0,0
213,Jaydon,Banel,3,45,0,0
214,Mike,Trésor Ndayishimiye,3,44,15,2
215,Zian,Flemming,4,53,658,41
216,Zeki,Amdouni,4,48,0,0
217,Lyle,Foster,4,49,866,36
218,Ashley,Barnes,4,43,7,1
219,Michael,Obafemi,4,44,0,0
470,Martin,Dúbravka,1,40,1530,46
676,Lesley,Ugochukwu,3,50,961,49
680,Armando,Broja,4,52,311,19
722,Florentino Ibrain,Morris Luís,3,50,1009,41
66,Norberto,Murara Neto,1,45,0,0
67,Đorđe,Petrović,1,45,1530,55
68,Will,Dennis,1,40,0,0
69,Callan,McKenna,1,39,0,0
70,Alex,Paulsen,1,40,0,0
71,Illia,Zabarnyi,2,50,0,0
72,Marcos,Senesi Barón,2,49,1398,76
73,Adam,Smith,2,44,476,19
74,Adrien,Truffert,2,45,1502,61
75,Matai,Akinmboni,2,38,0,0
76,Owen,Bevan,2,39,0,0
77,James,Hill,2,39,302,19
78,Julián,Araujo Zúñiga,2,38,0,0
79,Chris,Mepham,2,40,0,0
80,Julio,Soler Barreto,2,40,21,2
81,Justin,Kluivert,3,70,706,29
82,Antoine,Semenyo,3,77,1440,99
84,Marcus,Tavernier,3,56,1336,75
85,Tyler,Adams,3,50,1196,50
86,David,Brooks,3,50,718,26
87,Ryan,Christie,3,49,287,18
88,Lewis,Cook,3,49,304,11
89,Philip,Billing,3,49,0,0
90,Alex,Scott,3,50,1072,49
91,Luis,Sinisterra Lucumí,3,50,0,0
92,Romain,Faivre,3,45,0,0
93,Hamed,Traorè,3,45,16,4
94,Dominic,Sadi,3,45,0,0
95,Zain,Silcott-Duberry,3,44,0,0
96,Ben,Winterburn,3,45,6,1
97,Francisco Evanilson,de Lima Barbosa,4,70,1144,46
98,Enes,Ünal,4,54,61,10
99,Daniel,Adu-Adjei,4,44,0,0
100,Junior,Kroupi,4,46,444,41
391,Ben,Gannon-Doak,3,48,53,7
685,Bafodé,Diakité,2,44,1215,43
687,Remy,Rees-Dottin,3,44,0,0
697,Amine,Adli,3,54,385,19
713,Álex,Jiménez Sánchez,2,45,797,24
721,Veljko,Milosavljevic,2,44,365,17
756,Malcom,DaCosta,3,45,0,0
27,Reiss,Nelson,3,48,31,3
83,Dango,Ouattara,3,59,1061,64
101,Caoimhín,Kelleher,1,45,1530,56
102,Ellery,Balcombe,1,39,0,0
103,Matthew,Cox,1,39,0,0
104,Julian,Eyestone,1,39,0,0
105,Hákon Rafn,Valdimarsson,1,39,0,0
106,Nathan,Collins,2,49,1456,53
107,Keane,Lewis-Potter,2,48,640,51
108,Kristoffer,Ajer,2,44,611,24
109,Rico,Henry,2,43,442,19
110,Michael,Kayode,2,45,1477,48
111,Ethan,Pinnock,2,42,228,4
112,Mads,Roerslev Rasmussen,2,45,0,0
113,Sepp,van den Berg,2,45,1530,52
114,Benjamin,Arthur,2,39,0,0
115,Benjamin,Fredrick,2,40,0,0
116,Aaron,Hickey,2,40,410,24
117,Kim,Ji-soo,2,39,0,0
118,Jayden,Meghoma,2,40,0,0
120,Kevin,Schade,3,70,1323,50
121,Mikkel,Damsgaard,3,58,1028,47
122,Antoni,Milambo,3,52,45,1
123,Fábio,Freitas Gouveia Carvalho,3,47,100,13
124,Jordan,Henderson,3,50,1218,53
125,Vitaly,Janelt,3,49,398,25
126,Mathias,Jensen,3,49,540,33
127,Gustavo,Nunes Fernandes Gomes,3,49,0,0
128,Frank,Onyeka,3,48,88,12
129,Yehor,Yarmoliuk,3,50,1217,44
130,Romelle,Donovan,3,44,0,0
131,Yunus Emre,Konak,3,43,0,0
132,Paris,Maghoma,3,45,0,0
133,Myles,Peart-Harris,3,44,0,0
134,Ryan,Trevitt,3,45,0,0
136,Igor Thiago,Nascimento Rodrigues,4,71,1401,84
137,Iwan,Morgan,4,44,0,0
748,Josh,Dasilva,3,49,0,0
138,Jason,Steele,1,42,0,0
139,Bart,Verbruggen,1,44,1530,56
140,Tom,McGill,1,39,0,0
141,Carl,Rushworth,1,40,0,0
142,Kjell,Scherpen,1,40,0,0
143,Olivier,Boscagli,2,42,142,9
144,Diego,Coppola,2,42,107,10
145,Maxim,De Cuyper,2,43,763,46
146,Lewis,Dunk,2,45,1395,37
147,Pervis,Estupiñán Tenorio,2,45,0,0
148,Ferdi,Kadıoğlu,2,44,1242,40
150,Tariq,Lamptey,2,44,0,0
151,Jan Paul,van Hecke,2,46,1440,66
152,Joël,Veltman,2,43,403,11
153,Adam,Webster,2,44,0,0
154,Eiran,Cashin,2,40,0,0
155,Jacob,Slater,2,40,0,0
156,Charlie,Tasker,2,39,0,0
157,Mitoma,Kaoru,3,61,560,22
158,Georginio,Rutter,3,56,1082,49
159,Solly,March,3,58,0,0
160,Yankuba,Minteh,3,61,1441,74
161,Julio,Enciso Espínola,3,54,0,0
162,Brajan,Gruda,3,54,467,27
163,Jack,Hinshelwood,3,51,408,26
164,Matt,O'Riley,3,55,177,12
165,Abdallah,Sima,3,54,0,0
166,Yasin,Ayari,3,48,1167,40
167,Carlos,Baleba,3,46,894,25
169,Diego,Gómez Amarilla,3,49,956,36
170,James,Milner,3,49,209,17
171,Jeremy,Sarmiento Morante,3,49,0,0
172,Tom,Watson,3,48,44,3
173,Mats,Wieffer,3,49,1134,57
174,Malick,Yalcouyé,3,50,0,0
175,Joe,Knight,3,44,1,1
176,Adrian,Mazilu,3,45,0,0
177,Andrew,Moran,3,45,0,0
178,Danny,Welbeck,4,64,984,59
179,Evan,Ferguson,4,55,0,0
180,Stefanos,Tzimas,4,52,132,16
181,Charalampos,Kostoulas,4,48,87,12
744,Nehemiah,Oriola,3,45,1,1
761,Freddie,Simmonds,2,40,0,0
168,Facundo,Buonanotte,3,46,45,1
220,Robert,Lynch Sánchez,1,49,1444,67
221,Filip,Jörgensen,1,43,84,1
222,Mike,Penders,1,40,0,0
223,Gabriel,Słonina,1,39,0,0
224,Marc,Cucurella Saseta,2,62,1436,70
225,Reece,James,2,56,1111,74
226,Trevoh,Chalobah,2,55,1380,94
227,Levi,Samuels Colwill,2,48,0,0
228,Malo,Gusto,2,50,940,67
229,Benoît,Badiashile Mukinayi,2,44,155,0
230,Wesley,Fofana,2,44,667,38
231,Mamadou,Sarr,2,45,0,0
232,Tosin,Adarabioyo,2,41,557,27
233,Josh,Acheampong,2,38,348,27
234,Aarón,Anselmino,2,40,0,0
235,Cole,Palmer,3,104,366,24
236,Pedro,Lomba Neto,3,73,1324,78
237,Enzo,Fernández,3,65,1366,70
238,Estêvão,Almeida de Oliveira Gonçalves,3,64,449,32
239,Jamie,Bynoe-Gittens,3,60,423,21
240,Christopher,Nkunku,3,59,0,0
241,Moisés,Caicedo Corozo,3,57,1072,61
243,Tyrique,George,3,48,142,4
244,Roméo,Lavia,3,49,105,4
245,Mykhailo,Mudryk,3,49,0,0
246,Andrey,Nascimento dos Santos,3,45,436,15
247,Dário,Luís Essugo,3,43,0,0
248,Kendry,Páez Andrade,3,45,0,0
249,João Pedro,Junqueira de Jesus,4,72,1350,72
250,Liam,Delap,4,62,346,12
251,Nicolas,Jackson,4,65,0,0
252,Marc,Guiu Paz,4,43,247,12
453,Alejandro,Garnacho Ferreyra,3,64,646,33
672,Jorrel,Hato,2,46,166,3
743,Landon,Emenalo,3,45,0,0
253,Dean,Henderson,1,51,1530,64
254,Walter,Benítez,1,40,0,0
255,Remi,Matthews,1,39,0,0
256,Daniel,Muñoz Mejía,2,59,1260,89
257,Maxence,Lacroix,2,52,1530,82
258,Tyrick,Mitchell,2,50,1524,71
259,Borna,Sosa,2,48,26,2
260,Marc,Guéhi,2,53,1440,93
261,Chris,Richards,2,46,1522,75
262,Chadi,Riad Dnanou,2,40,0,0
263,Nathaniel,Clyne,2,38,220,5
264,Rob,Holding,2,40,0,0
265,Caleb,Kporha,2,40,0,0
267,Ismaïla,Sarr,3,64,1009,52
268,Cheick,Doucouré,3,49,0,0
269,Romain,Esse,3,47,24,1
270,Will,Hughes,3,47,541,19
271,Daichi,Kamada,3,50,1166,45
272,Jefferson,Lerma Solís,3,49,534,29
273,Adam,Wharton,3,50,1208,55
274,Asher,Agbinone,3,43,0,0
275,Naouirou,Ahamada,3,43,0,0
276,Justin,Devenny,3,43,211,19
277,Malcolm,Ebiowei,3,45,0,0
278,Jesurun,Rak-Sakyi,3,44,0,0
279,Matheus,França de Oliveira,3,45,0,0
280,David,Ozoh,3,45,0,0
281,Kaden,Rodney,3,44,0,0
282,Franco,Umeh-Chibueze,3,45,0,0
283,Jean-Philippe,Mateta,4,77,1374,65
284,Eddie,Nketiah,4,54,382,22
285,Odsonne,Édouard,4,50,2,1
286,Zach,Marsh,4,45,0,0
690,Rio,Cardines,3,44,0,0
712,Yéremy,Pino Santos,3,58,1014,37
723,Jaydee,Canvot,2,45,113,14
732,Christantus,Uche,4,55,70,10
762,Joél,Drakes-Thomas,3,45,4,1
242,Kiernan,Dewsbury-Hall,3,50,1257,75
287,Jordan,Pickford,1,55,1530,70
288,Mark,Travers,1,43,0,0
289,Harry,Tyrer,1,39,0,0
290,Jarrad,Branthwaite,2,53,0,0
291,James,Tarkowski,2,55,1530,77
292,Vitalii,Mykolenko,2,49,1255,40
293,Jake,O'Brien,2,49,1398,51
294,Séamus,Coleman,2,43,11,3
295,Michael,Keane,2,47,1414,81
296,Nathan,Patterson,2,44,0,0
297,Roman,Dixon,2,38,0,0
298,Reece,Welch,2,38,0,0
299,Iliman,Ndiaye,3,63,1343,73
300,Dwight,McNeil,3,55,165,9
